Date,Hostname (temp.),Hostname (Final),Success,Correct Hostname
12.06.2023 09:57:58:684 ,THA-ESX-IXN002-DSSC,THA-ESX-IXN002,Yes,THA-ESX-IXN002
12.06.2023 09:57:58:696 ,ce-esx-ze-aw32-01-DSSC,ce-esx-ze-aw32-01,Yes,ce-esx-ze-aw32-01
12.06.2023 09:57:58:708 ,DOP-ESX-CYO025-DSSC,OP-ESX-CYO025,No,DOP-ESX-CYO025
12.06.2023 09:57:58:718 ,DOP-ESX-IXN052,,N/A,DOP-ESX-IXN052
12.06.2023 09:57:58:730 ,ce-esx-ze-as36-05-new,,N/A,ce-esx-ze-as36-05-new
12.06.2023 09:57:58:740 ,ce-esx-18-DSSC,ce-esx-18,Yes,ce-esx-18
12.06.2023 09:57:58:751 ,DOP-ESX-IXN042-DSSC,OP-ESX-IXN042,No,DOP-ESX-IXN042
12.06.2023 09:57:58:764 ,ce-esx-fra16-5105-07-DSSC,ce-esx-fra16-5105-07,Yes,ce-esx-fra16-5105-07
12.06.2023 09:57:58:775 ,ce-bkp-ze-ba31-01,,N/A,ce-bkp-ze-ba31-01
12.06.2023 09:57:58:785 ,ce-esx-fra16-5106-09-new,,N/A,ce-esx-fra16-5106-09-new
12.06.2023 09:57:58:797 ,ESX-IX-2T-2A-30-DSSC,ESX-IX-2T-2A-30,Yes,ESX-IX-2T-2A-30
12.06.2023 09:57:58:809 ,ce-esx-ze-aw29-01-DSSC,ce-esx-ze-aw29-01,Yes,ce-esx-ze-aw29-01
12.06.2023 09:57:58:819 ,DOP-ESX-CYO035-DSSC,OP-ESX-CYO035,No,DOP-ESX-CYO035
12.06.2023 09:57:58:831 ,ce-esx-ze-as33-10-DSSC,ce-esx-ze-as33-10,Yes,ce-esx-ze-as33-10
12.06.2023 09:57:58:841 ,ce-esx-04-DSSC,ce-esx-04,Yes,ce-esx-04
12.06.2023 09:57:58:852 ,DOP-ESX-CYO033-DSSC,OP-ESX-CYO033,No,DOP-ESX-CYO033
12.06.2023 09:57:58:866 ,ce-esx-21-DSSC,ce-esx-21,Yes,ce-esx-21
12.06.2023 09:57:58:879 ,DOP-ESX-IXN013-DSSC,OP-ESX-IXN013,No,DOP-ESX-IXN013
12.06.2023 09:57:58:889 ,ce-esx-ze-as32-01,,N/A,ce-esx-ze-as32-01
12.06.2023 09:57:58:901 ,dop-esx-dus013,,N/A,dop-esx-dus013
12.06.2023 09:57:58:912 ,ce-esx-ze-aw32-08-DSSC,ce-esx-ze-aw32-08,Yes,ce-esx-ze-aw32-08
12.06.2023 09:57:58:922 ,DOP-ESX-CYO015-DSSC,OP-ESX-CYO015,No,DOP-ESX-CYO015
12.06.2023 09:57:58:933 ,ce-esx-fra6-2tb3-01,,N/A,ce-esx-fra6-2tb3-01
12.06.2023 09:57:58:946 ,ce-esx-ze-as29-02-DSSC,ce-esx-ze-as29-02,Yes,ce-esx-ze-as29-02
12.06.2023 09:57:58:956 ,GTD-ESX-CYO003-DSSC,GTD-ESX-CYO003,Yes,GTD-ESX-CYO003
12.06.2023 09:57:58:966 ,ce-esx-19-DSSC,ce-esx-19,Yes,ce-esx-19
12.06.2023 09:57:58:977 ,ce-esx-fra16-5105-13-DSSC,"ce-esx-fra16-5105-13""",Yes,ce-esx-fra16-5105-13
12.06.2023 09:57:58:987 ,DOP-ESX-CYO001-DSSC,OP-ESX-CYO001,No,DOP-ESX-CYO001
12.06.2023 09:57:58:998 ,ce-bkp-fra12-5204-03,,N/A,ce-bkp-fra12-5204-03
12.06.2023 09:57:59:011 ,ce-esx-fra6-2tb3-03-DSSC,ce-esx-fra6-2tb3-03,Yes,ce-esx-fra6-2tb3-03
12.06.2023 09:57:59:022 ,DOP-BCK-CYO003-new,,N/A,DOP-BCK-CYO003-new
12.06.2023 09:57:59:033 ,DOP-ESX-CYO041-DSSC,OP-ESX-CYO041,No,DOP-ESX-CYO041
12.06.2023 09:57:59:044 ,ce-esx-ze-as32-05-DSSC,ce-esx-ze-as32-05,Yes,ce-esx-ze-as32-05
12.06.2023 09:57:59:057 ,ce-esx-ze-as36-08-DSSC,ce-esx-ze-as36-08,Yes,ce-esx-ze-as36-08
12.06.2023 09:57:59:072 ,ce-esx-ze-as32-04-DSSC,ce-esx-ze-as32-04,Yes,ce-esx-ze-as32-04
12.06.2023 09:57:59:088 ,GTD-ESX-IXN002-DSSC,GTD-ESX-IXN002,Yes,GTD-ESX-IXN002
12.06.2023 09:57:59:101 ,DOP-BCK-IXN003-new,,N/A,DOP-BCK-IXN003-new
12.06.2023 09:57:59:111 ,DOP-ESX-IXN048,,N/A,DOP-ESX-IXN048
12.06.2023 09:57:59:123 ,ce-esx-fra6-2tb3-09-DSSC,ce-esx-fra6-2tb3-09,Yes,ce-esx-fra6-2tb3-09
12.06.2023 09:57:59:135 ,DOP-ESX-IXN014-new,,N/A,DOP-ESX-IXN014-new
12.06.2023 09:57:59:145 ,DOP-ESX-IXN003-DSSC,OP-ESX-IXN003,No,DOP-ESX-IXN003
12.06.2023 09:57:59:156 ,ce-esx-fra16-5105-18-DSSC,ce-esx-fra16-5105-18,Yes,ce-esx-fra16-5105-18
