Date,Hostname (temp.),Hostname (Final),Success,Correct Hostname
12.06.2023 09:57:56:793 ,orarac04p-DSSC,orarac04p,Yes,orarac04p
12.06.2023 09:57:56:805 ,DOP-ESX-IXN018-DSSC,OP-ESX-IXN018,No,DOP-ESX-IXN018
12.06.2023 09:57:56:815 ,orarac04i-DSSC,orarac04i,Yes,orarac04i
12.06.2023 09:57:56:824 ,GTD-ESX-IXN005-DSSC,GTD-ESX-IXN005,Yes,GTD-ESX-IXN005
12.06.2023 09:57:56:833 ,ce-esx-ze-as36-07-DSSC,ce-esx-ze-as36-07,Yes,ce-esx-ze-as36-07
12.06.2023 09:57:56:843 ,DOP-ESX-IXN043-DSSC,OP-ESX-IXN043,No,DOP-ESX-IXN043
12.06.2023 09:57:56:852 ,DOP-BCK-IXN004-new,,N/A,DOP-BCK-IXN004-new
12.06.2023 09:57:56:861 ,ce-esx-05-DSSC,ce-esx-05,Yes,ce-esx-05
12.06.2023 09:57:56:869 ,DOP-ESX-CYO031-DSSC,OP-ESX-CYO031,No,DOP-ESX-CYO031
12.06.2023 09:57:56:879 ,ce-esx-fra16-5106-13-DSSC,ce-esx-fra16-5106-13,Yes,ce-esx-fra16-5106-13
12.06.2023 09:57:56:888 ,DOP-ESX-IXN017-DSSC,OP-ESX-IXN017,No,DOP-ESX-IXN017
12.06.2023 09:57:56:896 ,DOP-ESX-CYO034-DSSC,OP-ESX-CYO034,No,DOP-ESX-CYO034
12.06.2023 09:57:56:906 ,ce-esx-ze-aw32-02-DSSC,ce-esx-ze-aw32-02,Yes,ce-esx-ze-aw32-02
12.06.2023 09:57:56:917 ,DOP-ESX-CYO027-DSSC,OP-ESX-CYO027,No,DOP-ESX-CYO027
12.06.2023 09:57:56:930 ,DOP-ESX-IXN037-DSSC,OP-ESX-IXN037,No,DOP-ESX-IXN037
12.06.2023 09:57:56:943 ,ce-esx-ze-as33-07-DSSC,ce-esx-ze-as33-07,Yes,ce-esx-ze-as33-07
12.06.2023 09:57:56:954 ,ce-esx-fra16-5105-10,,N/A,ce-esx-fra16-5105-10
12.06.2023 09:57:56:964 ,DOP-ESX-CYO026-DSSC,OP-ESX-CYO026,No,DOP-ESX-CYO026
12.06.2023 09:57:56:973 ,DOP-ESX-IXN046-new,,N/A,DOP-ESX-IXN046-new
12.06.2023 09:57:56:982 ,DOP-ESX-IXN020-DSSC,OP-ESX-IXN020,No,DOP-ESX-IXN020
12.06.2023 09:57:56:991 ,ce-esx-11-DSSC,ce-esx-11,Yes,ce-esx-11
12.06.2023 09:57:57:003 ,ce-esx-30-DSSC,ce-esx-30,Yes,ce-esx-30
12.06.2023 09:57:57:011 ,DOP-BCK-IXN001-DSSC,OP-BCK-IXN001,No,DOP-BCK-IXN001
12.06.2023 09:57:57:018 ,ce-esx-fra6-2tb3-10-DSSC,ce-esx-fra6-2tb3-10,Yes,ce-esx-fra6-2tb3-10
12.06.2023 09:57:57:028 ,ce-esx-fra16-5105-11-DSSC,ce-esx-fra16-5105-11,Yes,ce-esx-fra16-5105-11
12.06.2023 09:57:57:036 ,ce-esx-fra16-5106-05-DSSC,ce-esx-fra16-5106-05,Yes,ce-esx-fra16-5106-05
12.06.2023 09:57:57:045 ,DOP-ESX-CYO021-DSSC,OP-ESX-CYO021,No,DOP-ESX-CYO021
12.06.2023 09:57:57:054 ,ce-esx-ze-aw32-09-DSSC,ce-esx-ze-aw32-09,Yes,ce-esx-ze-aw32-09
12.06.2023 09:57:57:065 ,DOP-ESX-CYO019-DSSC,OP-ESX-CYO019,No,DOP-ESX-CYO019
12.06.2023 09:57:57:073 ,GTD-ESX-CYO002-DSSC,GTD-ESX-CYO002,Yes,GTD-ESX-CYO002
12.06.2023 09:57:57:084 ,ce-esx-fra16-5106-07-DSSC,ce-esx-fra16-5106-07,Yes,ce-esx-fra16-5106-07
12.06.2023 09:57:57:093 ,GTD-ESX-CYO004-DSSC,GTD-ESX-CYO004,Yes,GTD-ESX-CYO004
12.06.2023 09:57:57:101 ,ce-esx-12-DSSC,ce-esx-12,Yes,ce-esx-12
12.06.2023 09:57:57:112 ,ce-esx-fra16-5105-06-DSSC,ce-esx-fra16-5105-06,Yes,ce-esx-fra16-5105-06
12.06.2023 09:57:57:119 ,DOP-ESX-CYO029-DSSC,OP-ESX-CYO029,No,DOP-ESX-CYO029
12.06.2023 09:57:57:129 ,ce-esx-fra16-5106-16-DSSC,ce-esx-fra16-5106-16,Yes,ce-esx-fra16-5106-16
12.06.2023 09:57:57:138 ,ce-esx-ze-as29-01-DSSC,ce-esx-ze-as29-01,Yes,ce-esx-ze-as29-01
12.06.2023 09:57:57:149 ,DOP-ESX-IXN050,,N/A,DOP-ESX-IXN050
12.06.2023 09:57:57:156 ,DLR-ESX-CYO02-DSSC,LR-ESX-CYO02,No,DLR-ESX-CYO02
12.06.2023 09:57:57:165 ,ce-esx-ze-as33-09-DSSC,ce-esx-ze-as33-09,Yes,ce-esx-ze-as33-09
12.06.2023 09:57:57:174 ,ce-bkp-fra12-5204-02,,N/A,ce-bkp-fra12-5204-02
12.06.2023 09:57:57:183 ,ce-esx-24-DSSC,ce-esx-24,Yes,ce-esx-24
12.06.2023 09:57:57:192 ,ce-esx-fra16-5105-08-DSSC,ce-esx-fra16-5105-08,Yes,ce-esx-fra16-5105-08
12.06.2023 09:57:57:199 ,DOP-ESX-CYO023-DSSC,OP-ESX-CYO023,No,DOP-ESX-CYO023
12.06.2023 09:57:57:210 ,ce-esx-02-DSSC,ce-esx-02,Yes,ce-esx-02
12.06.2023 09:57:57:220 ,ce-esx-ze-as33-08-DSSC,ce-esx-ze-as33-08,Yes,ce-esx-ze-as33-08
12.06.2023 09:57:57:229 ,DOP-ESX-IXN041-DSSC,OP-ESX-IXN041,No,DOP-ESX-IXN041
12.06.2023 09:57:57:237 ,DOP-ESX-IXN032-DSSC,OP-ESX-IXN032,No,DOP-ESX-IXN032
12.06.2023 09:57:57:247 ,SIN-ESX-IXN02-DSSC,IN-ESX-IXN02,No,SIN-ESX-IXN02
12.06.2023 09:57:57:256 ,DOP-ESX-IXN015-DSSC,OP-ESX-IXN015,No,DOP-ESX-IXN015
12.06.2023 09:57:57:264 ,DOP-ESX-CYO046,,N/A,DOP-ESX-CYO046
12.06.2023 09:57:57:273 ,DOP-ESX-CYO004-DSSC,OP-ESX-CYO004,No,DOP-ESX-CYO004
12.06.2023 09:57:57:282 ,orarac01t-DSSC,orarac01t,Yes,orarac01t
12.06.2023 09:57:57:291 ,ce-esx-ze-as36-01-DSSC,ce-esx-ze-as36-01,Yes,ce-esx-ze-as36-01
12.06.2023 09:57:57:299 ,DOP-ESX-IXN012-DSSC,OP-ESX-IXN012,No,DOP-ESX-IXN012
12.06.2023 09:57:57:308 ,DOP-ESX-CYO006-new,,N/A,DOP-ESX-CYO006-new
12.06.2023 09:57:57:316 ,DOP-ESX-CYO044-DSSC,OP-ESX-CYO044,No,DOP-ESX-CYO044
12.06.2023 09:57:57:326 ,DOP-ESX-CYO048,,N/A,DOP-ESX-CYO048
12.06.2023 09:57:57:334 ,ce-esx-ze-as33-05-DSSC,ce-esx-ze-as33-05,Yes,ce-esx-ze-as33-05
12.06.2023 09:57:57:343 ,orarac03i-DSSC,orarac03i,Yes,orarac03i
12.06.2023 09:57:57:351 ,ce-esx-23-DSSC,ce-esx-23,Yes,ce-esx-23
12.06.2023 09:57:57:360 ,ce-bkp-ze-aw32-01,,N/A,ce-bkp-ze-aw32-01
12.06.2023 09:57:57:369 ,ce-esx-ze-as29-03-DSSC,ce-esx-ze-as29-03,Yes,ce-esx-ze-as29-03
12.06.2023 09:57:57:379 ,DOP-ESX-CYO042-DSSC,OP-ESX-CYO042,No,DOP-ESX-CYO042
12.06.2023 09:57:57:392 ,DOP-ESX-IXN025-DSSC,OP-ESX-IXN025,No,DOP-ESX-IXN025
12.06.2023 09:57:57:402 ,DOP-ESX-CYO016-DSSC,OP-ESX-CYO016,No,DOP-ESX-CYO016
12.06.2023 09:57:57:411 ,PJN-ESX-IXN001-DSSC,PJN-ESX-IXN001,Yes,PJN-ESX-IXN001
12.06.2023 09:57:57:423 ,ce-esx-01-DSSC,ce-esx-01,Yes,ce-esx-01
12.06.2023 09:57:57:435 ,ce-esx-fra6-2tb3-12-DSSC,ce-esx-fra6-2tb3-12,Yes,ce-esx-fra6-2tb3-12
12.06.2023 09:57:57:448 ,ce-esx-03-DSSC,ce-esx-03,Yes,ce-esx-03
12.06.2023 09:57:57:466 ,DOP-ESX-CYO037-DSSC,OP-ESX-CYO037,No,DOP-ESX-CYO037
12.06.2023 09:57:57:476 ,DOP-ESX-CYO013-DSSC,OP-ESX-CYO013,No,DOP-ESX-CYO013
12.06.2023 09:57:57:484 ,ce-esx-ze-as33-04-DSSC,ce-esx-ze-as33-04,Yes,ce-esx-ze-as33-04
12.06.2023 09:57:57:495 ,ce-esx-07-DSSC,ce-esx-07,Yes,ce-esx-07
12.06.2023 09:57:57:505 ,DOP-ESX-IXN002-DSSC,OP-ESX-IXN002,No,DOP-ESX-IXN002
12.06.2023 09:57:57:513 ,ce-esx-ze-as33-06-DSSC,ce-esx-ze-as33-06,Yes,ce-esx-ze-as33-06
12.06.2023 09:57:57:522 ,ce-esx-fra16-5105-09,,N/A,ce-esx-fra16-5105-09
12.06.2023 09:57:57:533 ,THA-ESX-IXN001-DSSC,THA-ESX-IXN001,Yes,THA-ESX-IXN001
12.06.2023 09:57:57:543 ,DLR-ESX-IXN02-DSSC,LR-ESX-IXN02,No,DLR-ESX-IXN02
12.06.2023 09:57:57:551 ,DOP-ESX-CYO002-DSSC,OP-ESX-CYO002,No,DOP-ESX-CYO002
12.06.2023 09:57:57:560 ,DOP-ESX-CYO051,,N/A,DOP-ESX-CYO051
12.06.2023 09:57:57:571 ,orarac02t-DSSC,orarac02t,Yes,orarac02t
12.06.2023 09:57:57:580 ,DOP-ESX-CYO003-DSSC,OP-ESX-CYO003,No,DOP-ESX-CYO003
12.06.2023 09:57:57:589 ,LAB-ESX-WORKLOAD-DSSC,LAB-ESX-WORKLOA,No,LAB-ESX-WORKLOAD
12.06.2023 09:57:57:598 ,DOP-BCK-DUS010,,N/A,DOP-BCK-DUS010
