Date,Hostname (temp.),Hostname (Final),Success,Correct Hostname,Hgname
12.06.2023 09:57:56:310 ,test01,dsccapx01,No,dscc-api-01,dsccapitest1
12.06.2023 09:57:56:323 , ce-esx-32-DSSC,SYH5HE01B5,Yes,SYH5HE01B5,VDI
12.06.2023 09:57:56:331 , DOP-ESX-IXN030-DSSC,SYH5HE01B6,Yes,SYH5HE01B6,VDI
12.06.2023 09:57:56:323 , ESX-IX-2T-2A-29-DSSC,SYH5HE01B11,Yes,SYH5HE01B11,VDI
12.06.2023 09:57:56:323 , ESX-IX-2T-2A-29-DSSC,dsccapx02,No,dscc-api-02,dsccapitest2
